technology,scenario,year,locs,unit,flow_out_winter_peak
heat_storage_big,climate_neutrality,2050,BEL,twh,0.024034852738390355
heat_storage_big,climate_neutrality,2050,BGR,twh,0.010402191165006985
heat_storage_big,climate_neutrality,2050,CYP,twh,0.004031030573864213
heat_storage_big,climate_neutrality,2050,CZE,twh,0.03760060100698883
heat_storage_big,climate_neutrality,2050,DEU,twh,0.18558730069473872
heat_storage_big,climate_neutrality,2050,DNK,twh,0.009176757487147977
heat_storage_big,climate_neutrality,2050,ESP,twh,0.031647511939428476
heat_storage_big,climate_neutrality,2050,EST,twh,0.0024851887709459322
heat_storage_big,climate_neutrality,2050,FIN,twh,0.0486046260818991
heat_storage_big,climate_neutrality,2050,FRA,twh,0.10140105673123352
heat_storage_big,climate_neutrality,2050,GBR,twh,0.11101536448768064
heat_storage_big,climate_neutrality,2050,GRC,twh,0.024146599874514122
heat_storage_big,climate_neutrality,2050,HRV,twh,0.0015309108387106959
heat_storage_big,climate_neutrality,2050,HUN,twh,0.011621184675646965
heat_storage_big,climate_neutrality,2050,IRL,twh,0.01424919443996331
heat_storage_big,climate_neutrality,2050,ITA,twh,0.04309638540906746
heat_storage_big,climate_neutrality,2050,LTU,twh,0.010429910707704671
heat_storage_big,climate_neutrality,2050,LUX,twh,0.0019915036363993255
heat_storage_big,climate_neutrality,2050,LVA,twh,0.0015139653794549548
heat_storage_big,climate_neutrality,2050,NLD,twh,0.038540784481845274
heat_storage_big,climate_neutrality,2050,POL,twh,0.17826221216190122
heat_storage_big,climate_neutrality,2050,PRT,twh,0.01959687180442571
heat_storage_big,climate_neutrality,2050,ROU,twh,0.050964764854088865
heat_storage_big,climate_neutrality,2050,SVK,twh,0.014162581864942323
heat_storage_big,climate_neutrality,2050,SVN,twh,0.0015877892530856553
heat_storage_big,climate_neutrality,2050,SWE,twh,0.04318343220898065
hydrogen_storage,climate_neutrality,2050,AUT,twh,4.116055434082436e-06
hydrogen_storage,climate_neutrality,2050,BEL,twh,1.421950437976402e-06
hydrogen_storage,climate_neutrality,2050,BGR,twh,1.411396089982329e-06
hydrogen_storage,climate_neutrality,2050,CYP,twh,2.352706330449574e-06
hydrogen_storage,climate_neutrality,2050,CZE,twh,2.6672503004883513e-06
hydrogen_storage,climate_neutrality,2050,DEU,twh,9.458397279762432e-06
hydrogen_storage,climate_neutrality,2050,DNK,twh,3.1502657478757424e-06
hydrogen_storage,climate_neutrality,2050,ESP,twh,1.4374464831545003e-05
hydrogen_storage,climate_neutrality,2050,EST,twh,2.654388430097707e-06
hydrogen_storage,climate_neutrality,2050,FIN,twh,5.122581813451699e-06
hydrogen_storage,climate_neutrality,2050,FRA,twh,1.7225844773429254e-05
hydrogen_storage,climate_neutrality,2050,GBR,twh,7.80222558466745e-06
hydrogen_storage,climate_neutrality,2050,GRC,twh,2.775102775603153e-06
hydrogen_storage,climate_neutrality,2050,HRV,twh,1.3620921700840215e-06
hydrogen_storage,climate_neutrality,2050,HUN,twh,1.3730509683604316e-06
hydrogen_storage,climate_neutrality,2050,IRL,twh,2.436577863298373e-06
hydrogen_storage,climate_neutrality,2050,ITA,twh,8.956061569228694e-06
hydrogen_storage,climate_neutrality,2050,LTU,twh,2.770970722238062e-06
hydrogen_storage,climate_neutrality,2050,LUX,twh,2.896417114364491e-06
hydrogen_storage,climate_neutrality,2050,LVA,twh,1.5296179396903879e-06
hydrogen_storage,climate_neutrality,2050,NLD,twh,1.3768732098746143e-06
hydrogen_storage,climate_neutrality,2050,POL,twh,7.009739337452904e-06
hydrogen_storage,climate_neutrality,2050,PRT,twh,2.7646477044938626e-06
hydrogen_storage,climate_neutrality,2050,ROU,twh,4.266364389922711e-06
hydrogen_storage,climate_neutrality,2050,SVK,twh,1.330186493169801e-06
hydrogen_storage,climate_neutrality,2050,SVN,twh,2.981430073468134e-06
hydrogen_storage,climate_neutrality,2050,SWE,twh,5.951869312975322e-06
eu_import,climate_neutrality,2050,AUT,twh,0.004730044915918494
eu_import,climate_neutrality,2050,BGR,twh,0.019695383626276604
eu_import,climate_neutrality,2050,DEU,twh,0.014686380781645355
eu_import,climate_neutrality,2050,DNK,twh,0.0034000073583542513
eu_import,climate_neutrality,2050,FIN,twh,0.003926385238446178
eu_import,climate_neutrality,2050,FRA,twh,0.03129958266880223
eu_import,climate_neutrality,2050,GBR,twh,0.0414161255149072
eu_import,climate_neutrality,2050,GRC,twh,0.0043049790534731595
eu_import,climate_neutrality,2050,HRV,twh,0.014169143958865987
eu_import,climate_neutrality,2050,HUN,twh,0.04113548100645358
eu_import,climate_neutrality,2050,ITA,twh,0.0192778605454108
eu_import,climate_neutrality,2050,NLD,twh,0.04387397128652887
eu_import,climate_neutrality,2050,ROU,twh,0.031118532650814996
eu_import,climate_neutrality,2050,SWE,twh,0.04030850959917572
hp,climate_neutrality,2050,AUT,twh,0.033655626907916125
hp,climate_neutrality,2050,BEL,twh,0.0659640120338091
hp,climate_neutrality,2050,BGR,twh,0.006923968367011102
hp,climate_neutrality,2050,CYP,twh,0.0036112826450093076
hp,climate_neutrality,2050,CZE,twh,0.040664093910517986
hp,climate_neutrality,2050,DEU,twh,0.394887317249915
hp,climate_neutrality,2050,DNK,twh,0.02899566299556198
hp,climate_neutrality,2050,ESP,twh,0.11269560519647412
hp,climate_neutrality,2050,EST,twh,0.0008412330976548634
hp,climate_neutrality,2050,FIN,twh,0.028173179478210058
hp,climate_neutrality,2050,FRA,twh,0.29405387398106886
hp,climate_neutrality,2050,GBR,twh,0.26297335168074276
hp,climate_neutrality,2050,GRC,twh,0.0336859517437378
hp,climate_neutrality,2050,HRV,twh,0.012745023071469273
hp,climate_neutrality,2050,HUN,twh,0.03922468513908777
hp,climate_neutrality,2050,IRL,twh,0.016968036149171636
hp,climate_neutrality,2050,ITA,twh,0.2439505981711255
hp,climate_neutrality,2050,LTU,twh,0.004289672626760803
hp,climate_neutrality,2050,LUX,twh,0.004760649181102134
hp,climate_neutrality,2050,LVA,twh,0.0004639745478457327
hp,climate_neutrality,2050,NLD,twh,0.10085196999753783
hp,climate_neutrality,2050,POL,twh,0.12004084810199138
hp,climate_neutrality,2050,PRT,twh,0.016542373427239066
hp,climate_neutrality,2050,ROU,twh,0.026419065001948638
hp,climate_neutrality,2050,SVK,twh,0.01136137321701351
hp,climate_neutrality,2050,SVN,twh,0.002382510379391059
hp,climate_neutrality,2050,SWE,twh,0.03747648212292704
electrolysis,climate_neutrality,2050,AUT,twh,0.00044810453882311704
electrolysis,climate_neutrality,2050,BEL,twh,6.52871067489397e-05
electrolysis,climate_neutrality,2050,BGR,twh,2.097257629309949e-05
electrolysis,climate_neutrality,2050,CYP,twh,0.0025918491281340405
electrolysis,climate_neutrality,2050,CZE,twh,0.00043111115574660824
electrolysis,climate_neutrality,2050,DEU,twh,0.0016107461702837742
electrolysis,climate_neutrality,2050,DNK,twh,0.06609008267746544
electrolysis,climate_neutrality,2050,ESP,twh,0.004828254321562433
