carrier,technology,scenario,year,region,unit,value
heat,chp_biofuel_extraction,climate_neutrality,2050,ITA,twh,0.005826258000251614
heat,chp_biofuel_extraction,climate_neutrality,2050,LTU,twh,0.002180815376019477
heat,chp_biofuel_extraction,climate_neutrality,2050,LUX,twh,0.00018402915841159772
heat,chp_biofuel_extraction,climate_neutrality,2050,LVA,twh,0.003084133590271107
heat,chp_biofuel_extraction,climate_neutrality,2050,NLD,twh,0.0006065039793245793
heat,chp_biofuel_extraction,climate_neutrality,2050,POL,twh,0.013392076317729824
heat,chp_biofuel_extraction,climate_neutrality,2050,PRT,twh,8.320938356110814e-06
heat,chp_biofuel_extraction,climate_neutrality,2050,ROU,twh,0.00693315885782766
heat,chp_biofuel_extraction,climate_neutrality,2050,SVK,twh,0.0024360164230797336
heat,chp_biofuel_extraction,climate_neutrality,2050,SVN,twh,0.0017171723826389443
heat,chp_biofuel_extraction,climate_neutrality,2050,SWE,twh,0.009598322139836066
electricity,chp_wte_back_pressure,climate_neutrality,2050,AUT,twh,0.00034861318413748077
electricity,chp_wte_back_pressure,climate_neutrality,2050,BEL,twh,0.0005109576032357684
electricity,chp_wte_back_pressure,climate_neutrality,2050,CZE,twh,7.1342951763829e-05
electricity,chp_wte_back_pressure,climate_neutrality,2050,DEU,twh,0.0035597918738817184
electricity,chp_wte_back_pressure,climate_neutrality,2050,DNK,twh,0.0005203990130352271
electricity,chp_wte_back_pressure,climate_neutrality,2050,ESP,twh,0.00026945748039393803
electricity,chp_wte_back_pressure,climate_neutrality,2050,EST,twh,2.6931725529123315e-05
electricity,chp_wte_back_pressure,climate_neutrality,2050,FIN,twh,0.00027165937154888795
electricity,chp_wte_back_pressure,climate_neutrality,2050,FRA,twh,0.0014290202641311133
electricity,chp_wte_back_pressure,climate_neutrality,2050,GBR,twh,0.0011664203903378237
electricity,chp_wte_back_pressure,climate_neutrality,2050,GRC,twh,1.9298309686555795e-05
electricity,chp_wte_back_pressure,climate_neutrality,2050,HUN,twh,0.00010234887619540985
electricity,chp_wte_back_pressure,climate_neutrality,2050,IRL,twh,3.0130590343760887e-05
electricity,chp_wte_back_pressure,climate_neutrality,2050,ITA,twh,0.0010380398719573533
electricity,chp_wte_back_pressure,climate_neutrality,2050,LTU,twh,4.110236402624574e-05
electricity,chp_wte_back_pressure,climate_neutrality,2050,LUX,twh,1.9624478484614703e-05
electricity,chp_wte_back_pressure,climate_neutrality,2050,NLD,twh,0.0010472708556517238
electricity,chp_wte_back_pressure,climate_neutrality,2050,POL,twh,6.620858309662673e-05
electricity,chp_wte_back_pressure,climate_neutrality,2050,PRT,twh,0.00012897813648634737
electricity,chp_wte_back_pressure,climate_neutrality,2050,ROU,twh,6.305396003206999e-07
electricity,chp_wte_back_pressure,climate_neutrality,2050,SVK,twh,2.1085818146458322e-05
electricity,chp_wte_back_pressure,climate_neutrality,2050,SVN,twh,5.0297971400911356e-06
electricity,chp_wte_back_pressure,climate_neutrality,2050,SWE,twh,0.0009360279271437923
heat,chp_wte_back_pressure,climate_neutrality,2050,AUT,twh,7.34724522837018e-07
heat,chp_wte_back_pressure,climate_neutrality,2050,BEL,twh,2.5988373989911963e-07
heat,chp_wte_back_pressure,climate_neutrality,2050,CZE,twh,3.9886275315196565e-07
heat,chp_wte_back_pressure,climate_neutrality,2050,DEU,twh,1.8601503789574164e-06
heat,chp_wte_back_pressure,climate_neutrality,2050,DNK,twh,4.6877465539326483e-07
heat,chp_wte_back_pressure,climate_neutrality,2050,ESP,twh,1.8082579571036937e-06
heat,chp_wte_back_pressure,climate_neutrality,2050,EST,twh,1.6885834968606343e-07
heat,chp_wte_back_pressure,climate_neutrality,2050,FIN,twh,4.416334506420976e-07
heat,chp_wte_back_pressure,climate_neutrality,2050,FRA,twh,3.3720064854387883e-06
heat,chp_wte_back_pressure,climate_neutrality,2050,GBR,twh,1.3708206630479316e-06
heat,chp_wte_back_pressure,climate_neutrality,2050,GRC,twh,3.001273560890432e-07
heat,chp_wte_back_pressure,climate_neutrality,2050,HUN,twh,2.4413884819713693e-07
heat,chp_wte_back_pressure,climate_neutrality,2050,IRL,twh,1.7579125604025221e-07
heat,chp_wte_back_pressure,climate_neutrality,2050,ITA,twh,1.4112427324640264e-06
heat,chp_wte_back_pressure,climate_neutrality,2050,LTU,twh,1.992327786395213e-07
heat,chp_wte_back_pressure,climate_neutrality,2050,LUX,twh,1.680791857648054e-07
heat,chp_wte_back_pressure,climate_neutrality,2050,NLD,twh,2.6045519323276335e-07
heat,chp_wte_back_pressure,climate_neutrality,2050,POL,twh,8.168390579581553e-07
heat,chp_wte_back_pressure,climate_neutrality,2050,PRT,twh,4.083663950430591e-07
heat,chp_wte_back_pressure,climate_neutrality,2050,ROU,twh,5.175472352922624e-07
heat,chp_wte_back_pressure,climate_neutrality,2050,SVK,twh,1.703683306695138e-07
heat,chp_wte_back_pressure,climate_neutrality,2050,SVN,twh,1.4832244213959125e-07
heat,chp_wte_back_pressure,climate_neutrality,2050,SWE,twh,8.731149546665624e-07
