technology,scenario,year,locs,unit,flow_out_sum
wind_onshore,climate_neutrality,2050,PRT,twh,812.059305763163
wind_onshore,climate_neutrality,2050,ROU,twh,490.8582677614869
wind_onshore,climate_neutrality,2050,SVK,twh,0.19788164487378537
wind_onshore,climate_neutrality,2050,SVN,twh,0.012975432175451473
wind_onshore,climate_neutrality,2050,SWE,twh,246.59318823116337
wind_offshore,climate_neutrality,2050,BEL,twh,0.009349186248366198
wind_offshore,climate_neutrality,2050,BGR,twh,0.004833981343601848
wind_offshore,climate_neutrality,2050,CYP,twh,0.0013087472289760541
wind_offshore,climate_neutrality,2050,DEU,twh,0.03808157406668161
wind_offshore,climate_neutrality,2050,DNK,twh,0.015628776636517665
wind_offshore,climate_neutrality,2050,ESP,twh,0.043453159381131604
wind_offshore,climate_neutrality,2050,EST,twh,0.004692021285107389
wind_offshore,climate_neutrality,2050,FIN,twh,0.010659549436255612
wind_offshore,climate_neutrality,2050,FRA,twh,0.11898050685535062
wind_offshore,climate_neutrality,2050,GBR,twh,0.3247423999544031
wind_offshore,climate_neutrality,2050,GRC,twh,0.013516833345490994
wind_offshore,climate_neutrality,2050,HRV,twh,0.002756869220099019
wind_offshore,climate_neutrality,2050,IRL,twh,0.02127635549375067
wind_offshore,climate_neutrality,2050,ITA,twh,0.030917070784787844
wind_offshore,climate_neutrality,2050,LTU,twh,0.02643813850715404
wind_offshore,climate_neutrality,2050,LVA,twh,0.008868125187101417
wind_offshore,climate_neutrality,2050,NLD,twh,0.04444589273148222
wind_offshore,climate_neutrality,2050,POL,twh,0.024364973810769703
wind_offshore,climate_neutrality,2050,PRT,twh,0.0182862066276507
wind_offshore,climate_neutrality,2050,ROU,twh,0.004652718330871473
wind_offshore,climate_neutrality,2050,SVN,twh,0.001557857001309774
wind_offshore,climate_neutrality,2050,SWE,twh,0.021061848674358674
hydro_reservoir,climate_neutrality,2050,AUT,twh,20.29992885554428
hydro_reservoir,climate_neutrality,2050,BEL,twh,0.06567158415141257
hydro_reservoir,climate_neutrality,2050,BGR,twh,3.881868517673201
hydro_reservoir,climate_neutrality,2050,CZE,twh,1.891501829727659
hydro_reservoir,climate_neutrality,2050,DEU,twh,1.1681202601050868
hydro_reservoir,climate_neutrality,2050,ESP,twh,35.32383250154374
hydro_reservoir,climate_neutrality,2050,FIN,twh,8.06172446179022
hydro_reservoir,climate_neutrality,2050,FRA,twh,37.306757348703556
hydro_reservoir,climate_neutrality,2050,GBR,twh,2.0061323875679404
hydro_reservoir,climate_neutrality,2050,GRC,twh,5.315055883246892
hydro_reservoir,climate_neutrality,2050,HRV,twh,5.658578921469238
hydro_reservoir,climate_neutrality,2050,HUN,twh,0.15718937606064942
hydro_reservoir,climate_neutrality,2050,IRL,twh,0.00313983493496847
hydro_reservoir,climate_neutrality,2050,ITA,twh,13.537442900020134
