technology,scenario,year,locs,unit,total_investment_cost
roof_mounted_pv,climate_neutrality,2050,LTU,billion_2015eur,0.00013675803324757988
roof_mounted_pv,climate_neutrality,2050,LUX,billion_2015eur,0.00012280239453565415
roof_mounted_pv,climate_neutrality,2050,LVA,billion_2015eur,0.0001232425957059709
roof_mounted_pv,climate_neutrality,2050,NLD,billion_2015eur,0.0001352141671503051
roof_mounted_pv,climate_neutrality,2050,POL,billion_2015eur,0.0007200269355718134
roof_mounted_pv,climate_neutrality,2050,PRT,billion_2015eur,0.00026025537152980663
roof_mounted_pv,climate_neutrality,2050,ROU,billion_2015eur,0.0003817172994971347
roof_mounted_pv,climate_neutrality,2050,SVK,billion_2015eur,0.00014660081239079972
roof_mounted_pv,climate_neutrality,2050,SVN,billion_2015eur,0.000126516643171806
roof_mounted_pv,climate_neutrality,2050,SWE,billion_2015eur,0.0005093427598930015
wind_onshore,climate_neutrality,2050,AUT,billion_2015eur,9.078747108586612
wind_onshore,climate_neutrality,2050,BEL,billion_2015eur,2.286588381280232
wind_onshore,climate_neutrality,2050,BGR,billion_2015eur,0.001392644696918513
wind_onshore,climate_neutrality,2050,CYP,billion_2015eur,0.47881922801782006
wind_onshore,climate_neutrality,2050,CZE,billion_2015eur,0.03966378927069657
wind_onshore,climate_neutrality,2050,DEU,billion_2015eur,22.152465775890544
wind_onshore,climate_neutrality,2050,DNK,billion_2015eur,15.647147018973543
wind_onshore,climate_neutrality,2050,ESP,billion_2015eur,7.456005630579732
wind_onshore,climate_neutrality,2050,EST,billion_2015eur,4.999276333343248
wind_onshore,climate_neutrality,2050,FIN,billion_2015eur,4.855584061963805
wind_onshore,climate_neutrality,2050,FRA,billion_2015eur,20.20733201195042
wind_onshore,climate_neutrality,2050,GBR,billion_2015eur,59.44517014841574
wind_onshore,climate_neutrality,2050,GRC,billion_2015eur,0.009526455797165961
wind_onshore,climate_neutrality,2050,HRV,billion_2015eur,0.004363551781687179
wind_onshore,climate_neutrality,2050,HUN,billion_2015eur,8.848820710005004
wind_onshore,climate_neutrality,2050,IRL,billion_2015eur,16.305196603650828
wind_onshore,climate_neutrality,2050,ITA,billion_2015eur,9.720525426690486
wind_onshore,climate_neutrality,2050,LTU,billion_2015eur,0.005672657501445859
wind_onshore,climate_neutrality,2050,LUX,billion_2015eur,0.5617107221390549
wind_onshore,climate_neutrality,2050,LVA,billion_2015eur,0.0027366328001492747
wind_onshore,climate_neutrality,2050,NLD,billion_2015eur,7.881771016325145
wind_onshore,climate_neutrality,2050,POL,billion_2015eur,14.950107197608572
wind_onshore,climate_neutrality,2050,PRT,billion_2015eur,21.09183329018101
wind_onshore,climate_neutrality,2050,ROU,billion_2015eur,16.18282767726914
wind_onshore,climate_neutrality,2050,SVK,billion_2015eur,0.008394748306289852
wind_onshore,climate_neutrality,2050,SVN,billion_2015eur,0.0008608572003397736
wind_onshore,climate_neutrality,2050,SWE,billion_2015eur,7.196300870599755
wind_offshore,climate_neutrality,2050,BEL,billion_2015eur,0.0005394416657839026
wind_offshore,climate_neutrality,2050,BGR,billion_2015eur,0.00036631456258154837
wind_offshore,climate_neutrality,2050,CYP,billion_2015eur,0.0001744940789023462
wind_offshore,climate_neutrality,2050,DEU,billion_2015eur,0.0020495551019150617
wind_offshore,climate_neutrality,2050,DNK,billion_2015eur,0.0009328438686980859
wind_offshore,climate_neutrality,2050,ESP,billion_2015eur,0.002947819281981246
wind_offshore,climate_neutrality,2050,EST,billion_2015eur,0.0003349036111863479
wind_offshore,climate_neutrality,2050,FIN,billion_2015eur,0.0007542189388290211
wind_offshore,climate_neutrality,2050,FRA,billion_2015eur,0.006569496453457801
wind_offshore,climate_neutrality,2050,GBR,billion_2015eur,0.015240916244332926
wind_offshore,climate_neutrality,2050,GRC,billion_2015eur,0.0009531031427408991
wind_offshore,climate_neutrality,2050,HRV,billion_2015eur,0.0002908167756850392
wind_offshore,climate_neutrality,2050,IRL,billion_2015eur,0.0009755540030898201
wind_offshore,climate_neutrality,2050,ITA,billion_2015eur,0.002686212272933743
wind_offshore,climate_neutrality,2050,LTU,billion_2015eur,0.0014612512115944104
wind_offshore,climate_neutrality,2050,LVA,billion_2015eur,0.0005241582501354606
wind_offshore,climate_neutrality,2050,NLD,billion_2015eur,0.0020466228127841973
