technology,scenario,year,locs,unit,nameplate_capacity
wind_onshore,climate_neutrality,2050,LVA,tw,2.8441566577815254e-05
wind_onshore,climate_neutrality,2050,NLD,tw,0.08191450277862578
wind_onshore,climate_neutrality,2050,POL,tw,0.15537505403832977
wind_onshore,climate_neutrality,2050,PRT,tw,0.21920543404220752
wind_onshore,climate_neutrality,2050,ROU,tw,0.16818660171553
wind_onshore,climate_neutrality,2050,SVK,tw,8.724582737016126e-05
wind_onshore,climate_neutrality,2050,SVN,tw,8.94680768867485e-06
wind_onshore,climate_neutrality,2050,SWE,tw,0.07479047620637615
wind_offshore,climate_neutrality,2050,BEL,tw,3.128067742087185e-06
wind_offshore,climate_neutrality,2050,BGR,tw,2.1241532483461207e-06
wind_offshore,climate_neutrality,2050,CYP,tw,1.0118411943698494e-06
wind_offshore,climate_neutrality,2050,DEU,tw,1.1884783112951065e-05
wind_offshore,climate_neutrality,2050,DNK,tw,5.409294459740955e-06
wind_offshore,climate_neutrality,2050,ESP,tw,1.70935598607654e-05
wind_offshore,climate_neutrality,2050,EST,tw,1.9420101362362825e-06
wind_offshore,climate_neutrality,2050,FIN,tw,4.37349964355069e-06
wind_offshore,climate_neutrality,2050,FRA,tw,3.809462865267376e-05
wind_offshore,climate_neutrality,2050,GBR,tw,8.837770881949003e-05
wind_offshore,climate_neutrality,2050,GRC,tw,5.526772188346396e-06
wind_offshore,climate_neutrality,2050,HRV,tw,1.6863632021383285e-06
wind_offshore,climate_neutrality,2050,IRL,tw,5.6569582983449825e-06
wind_offshore,climate_neutrality,2050,ITA,tw,1.557657573067186e-05
wind_offshore,climate_neutrality,2050,LTU,tw,8.473377323258835e-06
wind_offshore,climate_neutrality,2050,LVA,tw,3.039443591393654e-06
wind_offshore,climate_neutrality,2050,NLD,tw,1.1867779607989319e-05
wind_offshore,climate_neutrality,2050,POL,tw,8.727363189587964e-06
wind_offshore,climate_neutrality,2050,PRT,tw,5.873328873964832e-06
wind_offshore,climate_neutrality,2050,ROU,tw,2.1146721292868543e-06
wind_offshore,climate_neutrality,2050,SVN,tw,1.3321798000105393e-06
wind_offshore,climate_neutrality,2050,SWE,tw,8.642493426249917e-06
hydro_reservoir,climate_neutrality,2050,AUT,tw,0.005121404076433121
hydro_reservoir,climate_neutrality,2050,BEL,tw,1.273566878980889e-05
hydro_reservoir,climate_neutrality,2050,BGR,tw,0.0014844992356687896
hydro_reservoir,climate_neutrality,2050,CZE,tw,0.0007114839022845105
hydro_reservoir,climate_neutrality,2050,DEU,tw,0.00020280000000000002
hydro_reservoir,climate_neutrality,2050,ESP,tw,0.00872354
hydro_reservoir,climate_neutrality,2050,FIN,tw,0.0013450000000000003
hydro_reservoir,climate_neutrality,2050,FRA,tw,0.009292473949044585
hydro_reservoir,climate_neutrality,2050,GBR,tw,0.00045900000000000004
hydro_reservoir,climate_neutrality,2050,GRC,tw,0.0025862
hydro_reservoir,climate_neutrality,2050,HRV,tw,0.0013224044585987262
hydro_reservoir,climate_neutrality,2050,HUN,tw,2.8000000000000003e-05
hydro_reservoir,climate_neutrality,2050,IRL,tw,1.0000000000000002e-06
hydro_reservoir,climate_neutrality,2050,ITA,tw,0.004652470000000001
hydro_reservoir,climate_neutrality,2050,LTU,tw,0.000101
