carrier,technology,scenario,year,region,unit,value
heat,chp_wte_back_pressure,climate_neutrality,2050,ITA,twh,1.1982905187917905e-06
heat,chp_wte_back_pressure,climate_neutrality,2050,LTU,twh,1.794609879758027e-07
heat,chp_wte_back_pressure,climate_neutrality,2050,LUX,twh,1.5110938731366512e-07
heat,chp_wte_back_pressure,climate_neutrality,2050,NLD,twh,2.2628301494508928e-07
heat,chp_wte_back_pressure,climate_neutrality,2050,POL,twh,7.257059795931516e-07
heat,chp_wte_back_pressure,climate_neutrality,2050,PRT,twh,3.607543784668738e-07
heat,chp_wte_back_pressure,climate_neutrality,2050,ROU,twh,5.119499391746844e-07
heat,chp_wte_back_pressure,climate_neutrality,2050,SVK,twh,1.531468583869293e-07
heat,chp_wte_back_pressure,climate_neutrality,2050,SVN,twh,1.2984187966890117e-07
heat,chp_wte_back_pressure,climate_neutrality,2050,SWE,twh,7.906161530908813e-07
