technology,scenario,year,locs,unit,flow_out_50
wind_offshore,climate_neutrality,2050,SVN,twh,1.7385852848402872e-07
wind_offshore,climate_neutrality,2050,SWE,twh,4.407816999483361e-06
hydro_reservoir,climate_neutrality,2050,AUT,twh,0.0013972902532673748
hydro_reservoir,climate_neutrality,2050,BEL,twh,2.2733747719031494e-05
hydro_reservoir,climate_neutrality,2050,BGR,twh,3.259935989907643e-06
hydro_reservoir,climate_neutrality,2050,CZE,twh,4.652730150756705e-06
hydro_reservoir,climate_neutrality,2050,DEU,twh,0.00036629940128701105
hydro_reservoir,climate_neutrality,2050,ESP,twh,0.008392020435428704
hydro_reservoir,climate_neutrality,2050,FIN,twh,0.0026798432504515947
hydro_reservoir,climate_neutrality,2050,FRA,twh,0.006734996356234604
hydro_reservoir,climate_neutrality,2050,GBR,twh,0.0007079146369284822
hydro_reservoir,climate_neutrality,2050,GRC,twh,3.780329087306429e-06
hydro_reservoir,climate_neutrality,2050,HRV,twh,0.001142432782398134
hydro_reservoir,climate_neutrality,2050,HUN,twh,5.423273093432822e-05
hydro_reservoir,climate_neutrality,2050,IRL,twh,6.938460816832877e-07
hydro_reservoir,climate_neutrality,2050,ITA,twh,0.001824118421328836
hydro_reservoir,climate_neutrality,2050,LTU,twh,0.0001748984212733578
hydro_reservoir,climate_neutrality,2050,LVA,twh,1.7549305381521355e-06
hydro_reservoir,climate_neutrality,2050,POL,twh,0.000637920268417071
hydro_reservoir,climate_neutrality,2050,PRT,twh,0.00039143711533724606
hydro_reservoir,climate_neutrality,2050,ROU,twh,9.937778628029267e-06
hydro_reservoir,climate_neutrality,2050,SVK,twh,3.915419024304567e-06
hydro_reservoir,climate_neutrality,2050,SVN,twh,0.00019390629540864748
hydro_reservoir,climate_neutrality,2050,SWE,twh,0.013176568823213044
hydro_run_of_river,climate_neutrality,2050,AUT,twh,0.0032898445866726706
hydro_run_of_river,climate_neutrality,2050,BEL,twh,4.481808761518444e-05
hydro_run_of_river,climate_neutrality,2050,BGR,twh,6.0478226810648916e-06
hydro_run_of_river,climate_neutrality,2050,CZE,twh,1.9708768381923757e-05
hydro_run_of_river,climate_neutrality,2050,DEU,twh,0.004698055530684973
hydro_run_of_river,climate_neutrality,2050,FIN,twh,0.0016227512003479936
hydro_run_of_river,climate_neutrality,2050,FRA,twh,0.00406795047219826
hydro_run_of_river,climate_neutrality,2050,GBR,twh,0.0005135949429634569
hydro_run_of_river,climate_neutrality,2050,GRC,twh,2.1499390647457032e-05
hydro_run_of_river,climate_neutrality,2050,HRV,twh,0.00016709403384048365
hydro_run_of_river,climate_neutrality,2050,HUN,twh,1.78145592482739e-05
hydro_run_of_river,climate_neutrality,2050,IRL,twh,7.608949296572892e-05
hydro_run_of_river,climate_neutrality,2050,ITA,twh,0.004430314304836085
hydro_run_of_river,climate_neutrality,2050,LVA,twh,0.000211757727834639
hydro_run_of_river,climate_neutrality,2050,POL,twh,1.8944991793855217e-05
hydro_run_of_river,climate_neutrality,2050,PRT,twh,0.0006933156165625028
hydro_run_of_river,climate_neutrality,2050,ROU,twh,0.0004427934165463023
hydro_run_of_river,climate_neutrality,2050,SVK,twh,0.0003612069886996135
hydro_run_of_river,climate_neutrality,2050,SVN,twh,0.0006334494318420527
hydro_run_of_river,climate_neutrality,2050,SWE,twh,0.0017991372392671893
nuclear,climate_neutrality,2050,BGR,twh,9.864249069969323e-07
nuclear,climate_neutrality,2050,CZE,twh,0.012458690668417677
nuclear,climate_neutrality,2050,FIN,twh,1.024496269265348e-06
nuclear,climate_neutrality,2050,FRA,twh,0.04399510304511128
nuclear,climate_neutrality,2050,GBR,twh,0.017797827713576707
nuclear,climate_neutrality,2050,HUN,twh,0.00479931201277038
nuclear,climate_neutrality,2050,ROU,twh,0.0012996260011748392
nuclear,climate_neutrality,2050,SVK,twh,0.0018793458017962836
battery,climate_neutrality,2050,AUT,twh,2.9541569146301676e-05
battery,climate_neutrality,2050,BEL,twh,8.06735971826256e-06
battery,climate_neutrality,2050,BGR,twh,9.901171661092058e-06
battery,climate_neutrality,2050,CYP,twh,7.957489926667315e-06
battery,climate_neutrality,2050,CZE,twh,3.436765673608546e-05
battery,climate_neutrality,2050,DEU,twh,6.210698986393881e-05
battery,climate_neutrality,2050,DNK,twh,8.886512092727407e-06
battery,climate_neutrality,2050,ESP,twh,0.0001648243958347216
battery,climate_neutrality,2050,EST,twh,4.628618427312102e-06
battery,climate_neutrality,2050,FIN,twh,6.998071887925758e-06
battery,climate_neutrality,2050,FRA,twh,0.000228402914904716
battery,climate_neutrality,2050,GBR,twh,7.180123189886334e-05
battery,climate_neutrality,2050,GRC,twh,2.5665196768984094e-05
battery,climate_neutrality,2050,HRV,twh,1.3842384685667481e-05
battery,climate_neutrality,2050,HUN,twh,6.962551160878249e-06
battery,climate_neutrality,2050,IRL,twh,1.3576318083080168e-05
battery,climate_neutrality,2050,ITA,twh,0.00011562225077486684
battery,climate_neutrality,2050,LTU,twh,7.537391915412078e-06
