technology,scenario,year,locs,unit,flow_out_summer_peak
wind_offshore,climate_neutrality,2050,SWE,twh,1.065077479269609e-05
hydro_reservoir,climate_neutrality,2050,AUT,twh,0.01024147242326238
hydro_reservoir,climate_neutrality,2050,BEL,twh,2.5196377800945033e-05
hydro_reservoir,climate_neutrality,2050,BGR,twh,0.002968530003941756
hydro_reservoir,climate_neutrality,2050,CZE,twh,0.001420478282947653
hydro_reservoir,climate_neutrality,2050,DEU,twh,0.0004030085278998773
hydro_reservoir,climate_neutrality,2050,ESP,twh,0.01743677306120036
hydro_reservoir,climate_neutrality,2050,FIN,twh,0.002688554468335253
hydro_reservoir,climate_neutrality,2050,FRA,twh,0.018578973527820515
hydro_reservoir,climate_neutrality,2050,GBR,twh,0.0009165156105591235
hydro_reservoir,climate_neutrality,2050,GRC,twh,0.0051702377752557895
hydro_reservoir,climate_neutrality,2050,HRV,twh,0.002644367761830261
hydro_reservoir,climate_neutrality,2050,HUN,twh,5.568595642956201e-05
hydro_reservoir,climate_neutrality,2050,IRL,twh,1.3819947628164732e-06
hydro_reservoir,climate_neutrality,2050,ITA,twh,0.00924374391339772
hydro_reservoir,climate_neutrality,2050,LTU,twh,0.00020118072592638595
hydro_reservoir,climate_neutrality,2050,LVA,twh,0.0017367977731434947
hydro_reservoir,climate_neutrality,2050,POL,twh,0.0006394133016162627
hydro_reservoir,climate_neutrality,2050,PRT,twh,0.003929631632806095
hydro_reservoir,climate_neutrality,2050,ROU,twh,0.010543881612671266
hydro_reservoir,climate_neutrality,2050,SVK,twh,0.001583020708446295
hydro_reservoir,climate_neutrality,2050,SVN,twh,0.0004444782301984924
hydro_reservoir,climate_neutrality,2050,SWE,twh,0.022905622944385827
hydro_run_of_river,climate_neutrality,2050,AUT,twh,0.008306246596383748
hydro_run_of_river,climate_neutrality,2050,BEL,twh,0.00011738288121598756
hydro_run_of_river,climate_neutrality,2050,BGR,twh,4.454324020089613e-05
hydro_run_of_river,climate_neutrality,2050,CZE,twh,6.792925314680244e-05
hydro_run_of_river,climate_neutrality,2050,DEU,twh,0.006914238292574593
hydro_run_of_river,climate_neutrality,2050,FIN,twh,0.0025075141693040237
hydro_run_of_river,climate_neutrality,2050,FRA,twh,0.010545761198556936
hydro_run_of_river,climate_neutrality,2050,GBR,twh,0.0009529270473657497
hydro_run_of_river,climate_neutrality,2050,GRC,twh,0.0002037970951856508
hydro_run_of_river,climate_neutrality,2050,HRV,twh,0.0005568600500650441
hydro_run_of_river,climate_neutrality,2050,HUN,twh,3.9172019576110105e-05
hydro_run_of_river,climate_neutrality,2050,IRL,twh,0.0002497753235741444
hydro_run_of_river,climate_neutrality,2050,ITA,twh,0.013249586533139419
hydro_run_of_river,climate_neutrality,2050,LVA,twh,0.0010165024475217233
hydro_run_of_river,climate_neutrality,2050,POL,twh,2.8267718507915615e-05
hydro_run_of_river,climate_neutrality,2050,PRT,twh,0.0030667250453759185
hydro_run_of_river,climate_neutrality,2050,ROU,twh,0.0013886131046382485
hydro_run_of_river,climate_neutrality,2050,SVK,twh,0.0012635275939788461
hydro_run_of_river,climate_neutrality,2050,SVN,twh,0.0015704072603720414
hydro_run_of_river,climate_neutrality,2050,SWE,twh,0.003078227162314097
nuclear,climate_neutrality,2050,BGR,twh,1.0257368126136952e-06
nuclear,climate_neutrality,2050,CZE,twh,0.012459180786618002
nuclear,climate_neutrality,2050,FIN,twh,1.084096809368714e-06
nuclear,climate_neutrality,2050,FRA,twh,0.04399713120215833
nuclear,climate_neutrality,2050,GBR,twh,0.017798562904603972
nuclear,climate_neutrality,2050,HUN,twh,0.004799571056347909
nuclear,climate_neutrality,2050,ROU,twh,0.0012997486716584004
nuclear,climate_neutrality,2050,SVK,twh,0.0018796007222893004
battery,climate_neutrality,2050,AUT,twh,0.008275543263637384
battery,climate_neutrality,2050,BEL,twh,0.0027810409801892868
battery,climate_neutrality,2050,BGR,twh,0.00283502976391098
battery,climate_neutrality,2050,CYP,twh,5.0359449561656114e-05
battery,climate_neutrality,2050,CZE,twh,0.002546697147280069
battery,climate_neutrality,2050,DEU,twh,0.015750083415164214
battery,climate_neutrality,2050,DNK,twh,5.0058549019783114e-05
battery,climate_neutrality,2050,ESP,twh,0.013894075316277055
battery,climate_neutrality,2050,EST,twh,3.203230665592783e-05
battery,climate_neutrality,2050,FIN,twh,6.0987296668322514e-05
battery,climate_neutrality,2050,FRA,twh,0.060704119922382664
battery,climate_neutrality,2050,GBR,twh,0.0062948621385058865
battery,climate_neutrality,2050,GRC,twh,0.001663327007344478
battery,climate_neutrality,2050,HRV,twh,0.0031574971434346934
battery,climate_neutrality,2050,HUN,twh,0.0036823274227714433
battery,climate_neutrality,2050,IRL,twh,0.0007161062912228807
battery,climate_neutrality,2050,ITA,twh,0.10443839545364286
battery,climate_neutrality,2050,LTU,twh,0.001844600877777218
battery,climate_neutrality,2050,LUX,twh,0.002728644352476132
battery,climate_neutrality,2050,LVA,twh,2.9762576426125538e-05
battery,climate_neutrality,2050,NLD,twh,0.0002362380622875894
battery,climate_neutrality,2050,POL,twh,0.004078198150006872
battery,climate_neutrality,2050,PRT,twh,0.0059901432273587385
battery,climate_neutrality,2050,ROU,twh,0.0005046053552976923
battery,climate_neutrality,2050,SVK,twh,0.002115948747694359
battery,climate_neutrality,2050,SVN,twh,0.0013490609585011944
battery,climate_neutrality,2050,SWE,twh,0.0009486280037629776
heat_storage_big,climate_neutrality,2050,AUT,twh,0.039714843907461383
heat_storage_big,climate_neutrality,2050,BEL,twh,0.022443707494262177
heat_storage_big,climate_neutrality,2050,BGR,twh,0.009817701004173805
heat_storage_big,climate_neutrality,2050,CYP,twh,0.0039381319490479705
heat_storage_big,climate_neutrality,2050,CZE,twh,0.03726422207803614
heat_storage_big,climate_neutrality,2050,DEU,twh,0.18025960176229822
heat_storage_big,climate_neutrality,2050,DNK,twh,0.008595517309410801
heat_storage_big,climate_neutrality,2050,ESP,twh,0.030019700523029266
heat_storage_big,climate_neutrality,2050,EST,twh,0.002270403834125143
heat_storage_big,climate_neutrality,2050,FIN,twh,0.048461446308764485
heat_storage_big,climate_neutrality,2050,FRA,twh,0.09641734724510234
heat_storage_big,climate_neutrality,2050,GBR,twh,0.1083110706127894
heat_storage_big,climate_neutrality,2050,GRC,twh,0.02346668117324644
heat_storage_big,climate_neutrality,2050,HRV,twh,0.001306774908788326
heat_storage_big,climate_neutrality,2050,HUN,twh,0.010685039354234442
heat_storage_big,climate_neutrality,2050,IRL,twh,0.013898932801454397
heat_storage_big,climate_neutrality,2050,ITA,twh,0.040656007005183285
heat_storage_big,climate_neutrality,2050,LTU,twh,0.010276036108996517
heat_storage_big,climate_neutrality,2050,LUX,twh,0.0018605811315751367
heat_storage_big,climate_neutrality,2050,LVA,twh,0.0012453079715663905
heat_storage_big,climate_neutrality,2050,NLD,twh,0.03637422343668544
heat_storage_big,climate_neutrality,2050,POL,twh,0.174802044442691
heat_storage_big,climate_neutrality,2050,PRT,twh,0.019217376270401904
heat_storage_big,climate_neutrality,2050,ROU,twh,0.04896387819346774
heat_storage_big,climate_neutrality,2050,SVK,twh,0.01410139886208989
heat_storage_big,climate_neutrality,2050,SVN,twh,0.0014105014080022166
heat_storage_big,climate_neutrality,2050,SWE,twh,0.04243335514336609
hydrogen_storage,climate_neutrality,2050,AUT,twh,1.8783361235018386e-06
hydrogen_storage,climate_neutrality,2050,BEL,twh,5.854339822890336e-07
hydrogen_storage,climate_neutrality,2050,BGR,twh,7.598098718462296e-07
hydrogen_storage,climate_neutrality,2050,CYP,twh,1.0778073624641797e-06
hydrogen_storage,climate_neutrality,2050,CZE,twh,1.243352177501978e-06
hydrogen_storage,climate_neutrality,2050,DEU,twh,4.327497692892699e-06
