scenario,techs,locs,carriers,unit,year,nameplate_capacity
diag-npi,ccgt,DEU,electricity,tw,2050,2.105494375082921e-06
diag-npi,ccgt,DNK,electricity,tw,2050,4.407667917994157e-07
diag-npi,ccgt,ESP,electricity,tw,2050,6.631371323561852e-07
diag-npi,ccgt,FRA,electricity,tw,2050,8.286430540484497e-07
diag-npi,ccgt,GBR,electricity,tw,2050,1.9790406103265902e-06
diag-npi,ccgt,ITA,electricity,tw,2050,2.824013460802613e-06
diag-npi,ccgt,MNE,electricity,tw,2050,2.770084774201315e-07
diag-npi,ccgt,NLD,electricity,tw,2050,3.029283697771089e-07
diag-npi,ccgt,NOR,electricity,tw,2050,1.1904053127300025e-06
diag-npi,ccgt,POL,electricity,tw,2050,1.3465325126299665e-06
diag-npi,ccgt,PRT,electricity,tw,2050,7.139850581676722e-07
diag-npi,ccgt,SWE,electricity,tw,2050,1.0000670293694248e-06
diag-npi,coal_power_plant,DEU,electricity,tw,2050,0.0460329552605697
diag-npi,coal_power_plant,DNK,electricity,tw,2050,2.903179471936177e-06
diag-npi,coal_power_plant,ESP,electricity,tw,2050,0.0096150973527136
diag-npi,coal_power_plant,FRA,electricity,tw,2050,0.0017703400741881
diag-npi,coal_power_plant,GBR,electricity,tw,2050,1.6845413962214948e-06
diag-npi,coal_power_plant,ITA,electricity,tw,2050,0.0084279988961788
diag-npi,coal_power_plant,MNE,electricity,tw,2050,0.0001304350998434
diag-npi,coal_power_plant,NLD,electricity,tw,2050,0.005113979223829
diag-npi,coal_power_plant,POL,electricity,tw,2050,0.0275312262363297
diag-npi,coal_power_plant,PRT,electricity,tw,2050,0.0017559479765454
diag-npi,coal_power_plant,SWE,electricity,tw,2050,4.267828353346775e-07
diag-npi,hydro_reservoir,CHE,electricity,tw,2050,0.00912793
diag-npi,hydro_reservoir,DEU,electricity,tw,2050,0.0002028
diag-npi,hydro_reservoir,ESP,electricity,tw,2050,0.008364235
diag-npi,hydro_reservoir,FRA,electricity,tw,2050,0.0094696382165605
diag-npi,hydro_reservoir,GBR,electricity,tw,2050,0.000524
diag-npi,hydro_reservoir,ITA,electricity,tw,2050,0.00552824
diag-npi,hydro_reservoir,MNE,electricity,tw,2050,0.000362961
diag-npi,hydro_reservoir,NOR,electricity,tw,2050,0.03175431
diag-npi,hydro_reservoir,POL,electricity,tw,2050,0.0004125063694267
diag-npi,hydro_reservoir,PRT,electricity,tw,2050,0.0013354
