model,scenario,region,variable,unit,year,value
calliope,diag-npi,SWE,Primary Energy|Fossil,twh,2050,0.0006376760934997
calliope,diag-npi,CHE,Primary Energy|Fossil,twh,2030,0.0105225019012907
calliope,diag-npi,CHE,Primary Energy|Fossil,twh,2050,0.0033573294272504
calliope,diag-npi,DNK,Primary Energy|Fossil,twh,2050,748.8663194752315
calliope,diag-npi,ESP,Primary Energy|Fossil,twh,2030,748.2296037539812
calliope,diag-npi,MNE,Primary Energy|Fossil,twh,2030,7.314932946186461e-06
calliope,diag-npi,MNE,Primary Energy|Fossil,twh,2050,1.0583879441755097e-06
calliope,diag-npi,NOR,Primary Energy|Fossil,twh,2030,0.000324800660889
calliope,diag-npi,NOR,Primary Energy|Fossil,twh,2050,0.0004316038879489
calliope,diag-npi,CHE,Primary Energy|Fossil,twh,2030,85.69022394942252
calliope,diag-npi,CHE,Primary Energy|Fossil,twh,2050,69.58616056498742
calliope,diag-npi,DEU,Primary Energy|Fossil,twh,2030,773.3254826859502
calliope,diag-npi,DEU,Primary Energy|Fossil,twh,2050,708.3002935021692
calliope,diag-npi,DNK,Primary Energy|Fossil,twh,2030,81.11961393383541
calliope,diag-npi,DNK,Primary Energy|Fossil,twh,2050,62.245164534166925
calliope,diag-npi,ESP,Primary Energy|Fossil,twh,2030,323.4516202495061
calliope,diag-npi,ESP,Primary Energy|Fossil,twh,2050,151.1985581677044
calliope,diag-npi,FRA,Primary Energy|Fossil,twh,2030,680.1492823180847
calliope,diag-npi,FRA,Primary Energy|Fossil,twh,2050,549.8696882618824
calliope,diag-npi,GBR,Primary Energy|Fossil,twh,2030,540.0634784705887
calliope,diag-npi,GBR,Primary Energy|Fossil,twh,2050,357.49579264816794
calliope,diag-npi,ITA,Primary Energy|Fossil,twh,2030,465.9571003050003
calliope,diag-npi,ITA,Primary Energy|Fossil,twh,2050,379.3148368634572
calliope,diag-npi,MNE,Primary Energy|Fossil,twh,2030,2.037087061516582
calliope,diag-npi,MNE,Primary Energy|Fossil,twh,2050,1.9046270464414192
calliope,diag-npi,NLD,Primary Energy|Fossil,twh,2030,168.9035704761328
calliope,diag-npi,NLD,Primary Energy|Fossil,twh,2050,156.8709721389295
calliope,diag-npi,NOR,Primary Energy|Fossil,twh,2030,65.33953594431762
calliope,diag-npi,NOR,Primary Energy|Fossil,twh,2050,66.9035419295994
calliope,diag-npi,POL,Primary Energy|Fossil,twh,2030,293.19650478324866
calliope,diag-npi,POL,Primary Energy|Fossil,twh,2050,256.44553913233887
calliope,diag-npi,PRT,Primary Energy|Fossil,twh,2030,56.14379662618812
calliope,diag-npi,PRT,Primary Energy|Fossil,twh,2050,20.631505812198743
calliope,diag-npi,SWE,Primary Energy|Fossil,twh,2030,123.86429783665297
calliope,diag-npi,SWE,Primary Energy|Fossil,twh,2050,84.51442342915135
calliope,diag-npi,CHE,Primary Energy|Nuclear,twh,2030,62.78803794129926
calliope,diag-npi,DEU,Primary Energy|Nuclear,twh,2030,224.96177256922013
calliope,diag-npi,ESP,Primary Energy|Nuclear,twh,2030,124.37675252807465
calliope,diag-npi,FRA,Primary Energy|Nuclear,twh,2030,1169.2068212030863
calliope,diag-npi,GBR,Primary Energy|Nuclear,twh,2030,235.25567601949533
calliope,diag-npi,NLD,Primary Energy|Nuclear,twh,2030,9.158299652374907
calliope,diag-npi,SWE,Primary Energy|Nuclear,twh,2030,177.30759793982585
calliope,diag-npi,FRA,Primary Energy|Nuclear,twh,2050,385.7903982040389
calliope,diag-npi,GBR,Primary Energy|Nuclear,twh,2050,146.77551132884082
calliope,diag-npi,CHE,Capacity|Electricity|Hydro,tw,2030,0.013180809799999998
