scenario,techs,locs,carriers,unit,year,flow_out_sum
diag-npi,methane_supply,DNK,methane,twh,2050,62.245164534166925
diag-npi,methane_supply,ESP,methane,twh,2050,151.1985581677044
diag-npi,methane_supply,FRA,methane,twh,2050,549.8696882618824
diag-npi,methane_supply,GBR,methane,twh,2050,357.49579264816794
diag-npi,methane_supply,ITA,methane,twh,2050,379.3148368634572
diag-npi,methane_supply,MNE,methane,twh,2050,1.9046270464414192
diag-npi,methane_supply,NLD,methane,twh,2050,156.8709721389295
diag-npi,methane_supply,NOR,methane,twh,2050,66.9035419295994
diag-npi,methane_supply,POL,methane,twh,2050,256.44553913233887
diag-npi,methane_supply,PRT,methane,twh,2050,20.631505812198743
diag-npi,methane_supply,SWE,methane,twh,2050,84.51442342915135
diag-npi,open_field_pv,CHE,electricity,twh,2050,41.03762468381871
diag-npi,open_field_pv,DEU,electricity,twh,2050,519.9837292195657
diag-npi,open_field_pv,DNK,electricity,twh,2050,0.0052311980361505
diag-npi,open_field_pv,ESP,electricity,twh,2050,345.5269243518096
diag-npi,open_field_pv,FRA,electricity,twh,2050,316.026942967308
diag-npi,open_field_pv,GBR,electricity,twh,2050,43.07217299881504
diag-npi,open_field_pv,ITA,electricity,twh,2050,427.5522535218747
diag-npi,open_field_pv,MNE,electricity,twh,2050,7.767975661728249
diag-npi,open_field_pv,NLD,electricity,twh,2050,0.0203914820807035
diag-npi,open_field_pv,NOR,electricity,twh,2050,0.0085728411301212
diag-npi,open_field_pv,POL,electricity,twh,2050,214.6823262198312
diag-npi,open_field_pv,PRT,electricity,twh,2050,18.81853632312883
diag-npi,open_field_pv,SWE,electricity,twh,2050,32.36592406573426
diag-npi,roof_mounted_pv,CHE,electricity,twh,2050,0.0002154127194098
diag-npi,roof_mounted_pv,DEU,electricity,twh,2050,0.0008033773606414
diag-npi,roof_mounted_pv,DNK,electricity,twh,2050,0.0002154732935064
diag-npi,roof_mounted_pv,ESP,electricity,twh,2050,0.0013925951926067
diag-npi,roof_mounted_pv,FRA,electricity,twh,2050,0.0018025418048934
diag-npi,roof_mounted_pv,GBR,electricity,twh,2050,0.0006216140708561
diag-npi,roof_mounted_pv,ITA,electricity,twh,2050,0.000698265766916
diag-npi,roof_mounted_pv,MNE,electricity,twh,2050,0.0001126522339634
diag-npi,roof_mounted_pv,NLD,electricity,twh,2050,0.0001224345199781
diag-npi,roof_mounted_pv,NOR,electricity,twh,2050,0.0004689895108413
diag-npi,roof_mounted_pv,POL,electricity,twh,2050,0.0005398176603652
diag-npi,roof_mounted_pv,PRT,electricity,twh,2050,0.0002657764515939
diag-npi,roof_mounted_pv,SWE,electricity,twh,2050,0.0003473394155982
diag-npi,waste_supply,CHE,waste,twh,2050,13.445000227479824
diag-npi,waste_supply,DEU,waste,twh,2050,64.3661119072904
diag-npi,waste_supply,DNK,waste,twh,2050,10.081895227479812
diag-npi,waste_supply,ESP,waste,twh,2050,6.638056806694481
diag-npi,waste_supply,FRA,waste,twh,2050,28.749775039431828
diag-npi,waste_supply,GBR,waste,twh,2050,25.08638957132824
diag-npi,waste_supply,ITA,waste,twh,2050,20.08952151577273
diag-npi,waste_supply,NLD,waste,twh,2050,19.69805316929539
diag-npi,waste_supply,NOR,waste,twh,2050,3.972904129512671
diag-npi,waste_supply,POL,waste,twh,2050,2.7901405686995067
diag-npi,waste_supply,PRT,waste,twh,2050,2.3754007830353565
diag-npi,waste_supply,SWE,waste,twh,2050,18.485278232738064
diag-npi,wind_offshore,DEU,electricity,twh,2050,0.0019892007217793
diag-npi,wind_offshore,DNK,electricity,twh,2050,0.0006862046009634
diag-npi,wind_offshore,ESP,electricity,twh,2050,0.0023580237844426
diag-npi,wind_offshore,FRA,electricity,twh,2050,0.0041887147292391
diag-npi,wind_offshore,GBR,electricity,twh,2050,0.0033590397978114
diag-npi,wind_offshore,ITA,electricity,twh,2050,0.0012805311133673
diag-npi,wind_offshore,MNE,electricity,twh,2050,0.0001179875178312
diag-npi,wind_offshore,NLD,electricity,twh,2050,0.0014339305728873
diag-npi,wind_offshore,NOR,electricity,twh,2050,0.0050023985061771
diag-npi,wind_offshore,POL,electricity,twh,2050,0.0008999596491298
diag-npi,wind_offshore,PRT,electricity,twh,2050,0.0006659574874976
diag-npi,wind_offshore,SWE,electricity,twh,2050,0.0010600349097791
diag-npi,wind_onshore,CHE,electricity,twh,2050,0.0003642715620888
diag-npi,wind_onshore,DEU,electricity,twh,2050,119.59706385463176
diag-npi,wind_onshore,DNK,electricity,twh,2050,299.4376900240711
diag-npi,wind_onshore,ESP,electricity,twh,2050,131.48465803332883
diag-npi,wind_onshore,FRA,electricity,twh,2050,448.691417479612
diag-npi,wind_onshore,GBR,electricity,twh,2050,657.5227957210336
diag-npi,wind_onshore,ITA,electricity,twh,2050,79.85735963121584
diag-npi,wind_onshore,MNE,electricity,twh,2050,0.0006731485088992
diag-npi,wind_onshore,NLD,electricity,twh,2050,259.6532735828355
diag-npi,wind_onshore,NOR,electricity,twh,2050,26.127768604810807
diag-npi,wind_onshore,POL,electricity,twh,2050,53.58662961338311
diag-npi,wind_onshore,PRT,electricity,twh,2050,143.7422921217912
diag-npi,wind_onshore,SWE,electricity,twh,2050,136.84467804682046
diag-npi,coal_power_plant,DEU,electricity,twh,2030,951.8594342647574
diag-npi,coal_power_plant,DNK,electricity,twh,2030,34.11288345909779
diag-npi,coal_power_plant,ESP,electricity,twh,2030,109.83464739191912
diag-npi,coal_power_plant,FRA,electricity,twh,2030,25.983089624090976
diag-npi,coal_power_plant,GBR,electricity,twh,2030,230.333941403092
diag-npi,coal_power_plant,ITA,electricity,twh,2030,124.81647027985464
diag-npi,coal_power_plant,MNE,electricity,twh,2030,1.604554679646326
diag-npi,coal_power_plant,NLD,electricity,twh,2030,92.20665018441704
diag-npi,coal_power_plant,POL,electricity,twh,2030,632.2225437423858
diag-npi,coal_power_plant,PRT,electricity,twh,2030,23.97614064385316
diag-npi,coal_power_plant,SWE,electricity,twh,2030,2.845644122325333
diag-npi,nuclear,CHE,electricity,twh,2030,62.78803794129926
diag-npi,nuclear,DEU,electricity,twh,2030,224.96177256922013
diag-npi,nuclear,ESP,electricity,twh,2030,124.37675252807465
diag-npi,nuclear,FRA,electricity,twh,2030,1169.2068212030863
diag-npi,nuclear,GBR,electricity,twh,2030,235.25567601949533
diag-npi,nuclear,NLD,electricity,twh,2030,9.158299652374907
diag-npi,nuclear,SWE,electricity,twh,2030,177.30759793982585
diag-npi,coal_power_plant,DEU,electricity,twh,2050,435.47410640640834
diag-npi,coal_power_plant,DNK,electricity,twh,2050,0.0029170052430449
diag-npi,coal_power_plant,ESP,electricity,twh,2050,66.6480724349425
diag-npi,coal_power_plant,FRA,electricity,twh,2050,14.338253878622924
diag-npi,coal_power_plant,GBR,electricity,twh,2050,0.0053752710540959
diag-npi,coal_power_plant,ITA,electricity,twh,2050,100.56235960032896
diag-npi,coal_power_plant,MNE,electricity,twh,2050,0.9415689301889888
diag-npi,coal_power_plant,NLD,electricity,twh,2050,41.159883238724056
diag-npi,coal_power_plant,POL,electricity,twh,2050,288.20441270318787
diag-npi,coal_power_plant,PRT,electricity,twh,2050,3.878905978900876
diag-npi,coal_power_plant,SWE,electricity,twh,2050,0.0006376760934997
diag-npi,nuclear,FRA,electricity,twh,2050,385.7903982040389
diag-npi,nuclear,GBR,electricity,twh,2050,146.77551132884082
